envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
13072500,78000,24.13,63.09,28.4666,8.4341,0.1467,17.406,0.0001,0.0042,0.2615,2.2141,0.0455,-0.2051,1.3683,0.9483,1.0185,0.0086,0.008,3.6815,14.8271
13152500,78500,44.32,74.9,24.8476,8.4815,0.1346,14.5088,0.0001,0.0025,0.241,1.479,0.0634,-0.3139,1.2822,0.7389,0.9336,-0.0269,0.0478,2.8236,15.2362
13227500,79000,24.62,73.41,29.2931,9.1743,0.1401,16.7141,0.0001,0.0006,1.126,2.1379,0.1049,-0.2639,1.1754,0.8409,0.8944,-0.0128,0.0074,2.7234,19.7101
13302500,79500,12.29,12.25,21.8016,5.6708,0.1307,14.6844,0.0001,0.0007,0.2913,1.0236,0.0566,-0.2355,1.338,0.7422,1.0147,-0.0108,-0.1165,3.0951,13.7589
13377500,80000,17.36,14.47,32.6981,10.7841,0.1547,18.8087,0.0002,0.0013,0.4993,2.45,0.0693,-0.2222,1.3933,1.1303,1.1359,-0.0144,-0.1729,3.8942,13.604
13452500,80500,25.48,24.22,33.8586,9.7608,0.1308,20.1865,0.0001,0.0215,1.2978,2.4611,0.0707,-0.2363,1.3305,0.9762,1.1329,0.0181,-0.0829,4.2641,9.1388
13535000,81000,69.08,65.23,27.6289,7.3626,0.1612,17.2205,0.0002,0.0014,0.5952,2.2877,0.1108,-0.2745,1.3545,1.0266,1.1514,0.0036,0.005,3.7005,7.6087
13612500,81500,39.94,101.46,23.7903,5.8614,0.1386,15.718,0.0001,0.0003,0.8159,1.2559,0.015,-0.1647,1.1587,0.681,0.8143,-0.0158,-0.0682,2.1099,14.836
13692500,82000,58.53,103.96,28.7492,9.1329,0.147,17.1949,0.0001,0.0021,0.4927,1.7795,0.0361,-0.2892,1.1864,0.9487,1.0816,-0.0282,0.0064,2.7078,13.2519
13767500,82500,36.45,45.02,35.578,7.4275,0.1559,25.5064,0.0002,0.0029,1.2561,1.2289,0.0478,-0.2477,1.2728,1.0885,0.954,0.0575,-0.0963,4.0981,7.7909
13842500,83000,17.93,13.91,33.1649,8.0557,0.1505,22.0128,0.0013,0.0051,1.6571,1.2823,0.126,-0.3045,1.1417,1.1506,1.2024,0.0649,0.0944,5.5608,9.9387
13917500,83500,24.05,14.25,32.2511,8.8942,0.1901,20.4702,0.0001,0.0055,1.1579,1.5331,0.0644,-0.2547,1.0846,0.8336,1.0033,0.0089,0.0414,4.3344,15.5914
13997500,84000,58.69,66.06,28.6113,6.9094,0.1504,18.9059,0.0003,0.0014,0.9283,1.7155,0.0409,-0.2182,1.2461,0.8467,1.0659,-0.0133,-0.0158,3.0712,9.6336
14075000,84500,48.27,50.14,31.1029,9.0329,0.1445,19.5071,0.0004,0.0031,0.9151,1.4999,0.0968,-0.2428,1.2415,0.7591,1.1453,0.0046,-0.1093,2.6593,15.2289
