envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
2062500,11200,0.0,3.76,36.6991,13.7342,0.131,19.4395,0.0013,0.0,3.393,0.0,0.0535,-0.1548,0.8182,0.5221,1.2522,0.0,-0.0683,0.3668,5.3006
2125000,11550,44.19,8.41,36.1314,12.557,0.1311,19.224,0.0005,0.0,4.2188,0.0,0.0394,-0.1664,0.6263,0.5458,1.7637,0.0028,-0.3324,0.2905,4.6657
2187500,11900,53.44,8.58,51.0236,16.2078,0.1309,29.8167,0.0035,0.0,4.8647,0.0,0.0351,-0.1673,0.9918,0.6574,1.4862,-0.0035,0.0946,0.2285,3.7758
2250000,12250,55.54,3.6,43.6493,13.5208,0.146,25.7091,0.0037,0.0,4.2697,0.0,0.058,-0.1541,0.937,0.6052,1.0701,0.0036,0.0008,0.2973,6.081
2312500,12600,56.85,5.52,54.6217,15.0539,0.1479,36.0286,0.0074,0.0,3.3839,0.0,0.0143,0.0154,1.1573,0.568,1.2867,-0.0015,-0.0553,0.2515,2.3513
2375000,12950,61.59,5.7,48.6302,12.5825,0.2165,33.2714,0.0046,0.0,2.5552,0.0,0.0159,-0.2943,1.0901,0.4622,1.357,-0.0009,-0.0814,0.2605,2.662
2437500,13300,62.71,3.7,45.556,10.8434,0.4579,31.0534,0.0047,0.0,3.1966,0.0,0.0332,-0.0752,1.1201,0.4543,1.0301,-0.0044,-0.0474,0.2594,2.4281
2500000,13650,63.72,6.26,65.037,12.7873,0.1756,49.0912,0.0075,0.0,2.9754,0.0,0.0164,-0.0236,1.1318,0.6798,1.076,-0.0043,-0.0226,0.2163,1.8095
2562500,14000,61.85,5.87,43.5983,9.6709,0.1754,29.7486,0.0045,0.0,3.9988,0.0,0.0437,-0.3886,1.2361,0.5209,1.5667,0.0003,0.0856,0.2873,1.7383
2625000,14350,63.91,4.18,46.5931,10.4399,0.1867,31.8307,0.0055,0.0,4.1303,0.0,0.0118,-0.2691,1.2081,0.8343,1.0036,0.0006,-0.0105,0.2635,1.5083
2687500,14700,64.07,5.01,50.9199,10.0374,0.1382,37.1024,0.0045,0.0,3.6374,0.0,0.006,-0.3166,1.3751,0.8474,1.1012,-0.0015,-0.0069,0.329,2.1894
2750000,15050,36.15,2.86,44.7348,9.144,0.1643,32.7006,0.0038,0.0,2.722,0.0,0.0111,-0.1417,1.0582,0.5973,1.3067,-0.0017,0.0476,0.1994,3.2989
2812500,15400,64.83,3.55,35.5642,6.7285,0.1627,26.8135,0.0039,0.0,1.8555,0.0,0.0215,-0.2145,1.2149,0.3879,1.0477,0.0008,0.0225,0.1842,2.498
2875000,15750,67.1,3.48,49.2146,9.0332,0.1696,37.4891,0.0036,0.0,2.5192,0.0,0.0214,-0.0374,1.2364,0.7063,0.9227,0.0038,0.0182,0.2201,2.2505
2937500,16100,57.84,3.53,41.6718,7.0717,0.1528,32.4318,0.0029,0.0,2.0125,0.0,0.0073,-0.173,1.3558,0.5473,0.8657,0.0032,-0.0107,0.2694,1.8412
3000000,16450,58.96,9.15,34.2848,5.7694,0.1646,26.6647,0.0021,0.0,1.6839,0.0,0.0149,-0.2061,1.224,0.5048,1.3279,0.0047,0.1876,0.2624,9.5458
3250000,17850,61.83,7.05,43.931,8.7468,0.1525,31.8137,0.0044,0.0,3.2136,0.0,0.0349,-0.0079,1.1564,0.654,0.9082,0.0132,0.0263,0.294,7.4811
3312500,18200,63.88,4.92,40.9413,6.5928,0.1926,31.2956,0.0024,0.0,2.858,0.0,0.0258,-0.1988,1.3614,0.679,0.7775,-0.0034,-0.0561,0.3626,5.5817
3375000,18550,0.0,4.72,54.7722,7.2387,0.1997,42.6818,0.0049,0.0,4.6471,0.0,0.0129,-0.0546,1.1938,0.8659,0.7337,-0.0052,-0.0084,0.3489,6.2537
3437500,18900,0.0,8.54,35.542,5.4203,0.1654,28.5386,0.0024,0.0,1.4152,0.0,0.0023,-0.192,0.9785,0.6766,1.5002,-0.0031,0.5718,0.3181,10.386
3500000,19250,0.0,2.39,37.5931,6.1582,0.3118,29.5241,0.0022,0.0,1.5969,0.0,0.0053,-0.1792,1.0924,0.5823,0.9897,0.0003,0.1806,0.308,12.9911
3562500,19600,13.46,6.45,38.2604,7.6999,0.2278,28.7961,0.0019,0.0,1.5348,0.0,0.0312,-0.3286,1.1999,0.639,0.9342,0.0101,-0.14,0.2979,8.0639
3625000,19950,31.1,6.38,35.009,8.3476,0.2078,24.7431,0.0015,0.0,1.7089,0.0,0.014,-0.2278,1.1906,0.6394,0.8952,-0.0004,-0.0353,0.3305,5.5238
3687500,20300,19.79,30.01,37.1124,7.5315,0.1702,27.6643,0.0025,0.0,1.5041,0.2397,0.0126,-0.1525,1.0731,0.6294,0.999,0.0001,0.0266,0.3641,9.2484
3750000,20650,34.17,6.71,39.0744,10.6265,0.1837,26.7276,0.0027,0.0,1.2981,0.2358,0.0105,-0.1739,1.1817,0.6492,1.0842,0.0172,-0.1302,0.4532,7.3825
3812500,21000,46.57,9.95,38.1143,9.38,0.1506,26.8884,0.002,0.0,1.5612,0.1322,0.0368,-0.2041,1.0602,0.5665,1.0436,-0.0043,-0.0676,0.5446,8.4043
3875000,21350,12.5,6.51,48.4056,12.6933,0.1548,32.1284,0.004,0.0,3.3086,0.1165,0.0316,-0.2539,1.1286,0.572,1.1924,-0.0029,0.0576,0.4511,7.8139
3937500,21700,36.43,15.95,34.0703,9.5452,0.2292,22.1793,0.0044,0.0,1.6987,0.4134,0.0169,-0.1058,1.0459,0.7598,1.0877,0.008,-0.0637,0.4764,11.0783
4000000,22050,21.74,10.1,35.9872,8.8128,0.1481,24.4385,0.0066,0.0,2.229,0.3523,0.0231,-0.1766,1.0742,0.7892,1.2602,0.0126,-0.3264,0.5506,12.5975
4062500,22400,43.52,6.98,31.8018,7.7309,0.1748,22.0837,0.0014,0.0,1.7164,0.0946,0.0099,-0.1816,0.9111,0.5641,1.0922,-0.001,-0.1075,0.5823,10.3176
4125000,22750,42.59,12.53,36.3335,9.4642,0.1332,24.2963,0.0045,0.0,2.1228,0.3126,0.0661,-0.1429,0.9224,0.7292,1.1354,0.0121,0.0965,0.6337,10.0094
4187500,23100,31.13,13.58,38.1701,10.0357,0.1502,24.6525,0.0035,0.0,2.9008,0.4274,0.0501,-0.1253,0.9038,0.6858,0.8449,0.002,-0.0389,0.6877,9.0456
4250000,23450,36.38,15.3,33.7256,8.2493,0.1409,23.244,0.0013,0.0,1.6044,0.4858,0.0285,-0.1736,0.9649,0.6886,0.9409,0.0053,-0.1132,0.7747,7.5063
4312500,23800,17.57,20.67,37.3476,6.7701,0.1926,27.8516,0.0015,0.0,2.292,0.2398,0.0216,-0.1622,0.876,0.66,1.0855,-0.0039,0.0166,0.7284,8.6203
4375000,24150,28.04,24.38,34.9622,9.3012,0.1597,22.4518,0.0046,0.0,2.6022,0.4427,0.0253,-0.0079,0.9322,0.6084,0.9308,-0.0002,-0.0072,0.621,10.8734
4437500,24500,26.01,39.9,37.0477,9.3212,0.165,23.1342,0.0038,0.0,3.7043,0.7192,0.086,-0.1747,0.9315,0.6824,0.8909,0.0051,0.0173,0.732,11.5807
4500000,24850,16.57,16.16,35.0306,6.4196,0.1437,24.874,0.006,0.0,2.8781,0.7092,0.067,-0.1279,0.8473,0.7201,0.7952,0.0068,-0.0057,0.8007,12.0877
